,symbol,series,openPrice,highPrice,lowPrice,ltp,previousPrice,netPrice,tradedQuantity,turnoverInLakhs,lastCorpAnnouncementDate,lastCorpAnnouncement
0,ONGC,EQ,110.7,112.2,103.85,105.1,110.7,-5.06,48225988.0,52416.83,17-Feb-2021,Interim Dividend - Rs 1.75 Per Share
1,TATASTEEL,EQ,696.0,696.0,655.95,669.4,697.75,-4.06,22392386.0,151251.61,06-Aug-2020,Dividend - Rs 10 Per Share
2,HEROMOTOCO,EQ,3522.85,3522.85,3370.0,3390.75,3522.85,-3.75,995322.0,34123.82,15-Feb-2021,Interim Dividend - Rs 65 Per Share Special Dividend - Rs 5 Per Share
3,SBIN,EQ,415.0,415.0,395.0,400.6,415.2,-3.52,66155518.0,267969.54,15-Jun-2018,Annual General Meeting/ Change In Registrar And Transfer Agent
4,TATAMOTORS,EQ,321.95,321.95,301.4,312.45,323.85,-3.52,80274683.0,251508.61,18-Jul-2016,Dividend - Re 0.20/- Per Share
5,AXISBANK,EQ,772.9,777.2,741.35,750.6,777.0,-3.40,15634787.0,118994.8,04-Jul-2019,Annual General Meeting/ Dividend - Re 1 Per Share
6,ICICIBANK,EQ,635.5,635.5,619.0,625.4,644.65,-2.99,24055811.0,151056.06,22-Jul-2019,Annual General Meeting/Dividend - Re 1 Per Share
7,BAJAJ-AUTO,EQ,4106.0,4106.7,3977.2,4002.0,4115.45,-2.76,762200.0,30614.83,03-Mar-2020,Interim Dividend - Rs 120 Per Share
8,EICHERMOT,EQ,2646.0,2647.9,2570.0,2582.0,2650.2,-2.57,1588781.0,41263.98,24-Aug-2020,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
9,JSWSTEEL,EQ,408.1,408.4,390.95,398.3,407.65,-2.29,4527644.0,18129.59,06-Jul-2020,Dividend - Rs 2 Per Share
