Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2000-06-22,12.1875,12.1875,12.1875,12.1875,10.987053871154785,0,0.0,0.0
2000-07-26,11.25,11.25,11.25,11.25,10.141898155212402,0,0.0,0.0
2000-08-15,10.5625,10.5625,10.5625,10.5625,9.522112846374512,0,0.0,0.0
2000-09-01,12.703125,12.703125,12.703125,12.703125,11.451891899108887,0,0.0,0.0
2000-10-02,10.78125,10.78125,10.78125,10.78125,9.719316482543945,0,0.0,0.0
2000-10-26,11.125,11.125,11.125,11.125,10.029210090637207,0,0.0,0.0
2000-12-13,11.875,11.875,11.875,11.875,10.705336570739746,0,0.0,0.0
2000-12-25,12.265625,12.265625,12.265625,12.265625,11.05748462677002,0,0.0,0.0
2001-01-26,11.03125,11.03125,11.03125,11.03125,9.94469165802002,0,0.0,0.0
2001-03-06,11.03125,11.03125,11.03125,11.03125,9.94469165802002,0,0.0,0.0
2001-04-04,10.625,10.625,10.625,10.625,9.578459739685059,0,0.0,0.0
2001-04-05,10.625,10.625,10.625,10.625,9.578459739685059,0,0.0,0.0
2001-04-13,10.046875,10.046875,10.046875,10.046875,9.057278633117676,0,0.0,0.0
2001-04-27,10.125,10.125,10.125,10.125,9.127707481384277,0,0.0,0.0
2001-05-01,9.8125,9.8125,9.8125,9.8125,8.845988273620605,0,0.0,0.0
2001-07-23,12.75,12.75,12.75,12.75,11.494150161743164,0,0.0,0.0
2001-08-15,12.8125,12.8125,12.8125,12.8125,11.550495147705078,0,0.0,0.0
2001-08-22,12.8125,12.8125,12.8125,12.8125,11.550495147705078,0,0.0,0.0
2001-10-02,11.375,11.375,11.375,11.375,10.254586219787598,0,0.0,0.0
2001-10-26,12.5,12.5,12.5,12.5,11.268775939941406,0,0.0,0.0
2001-11-14,12.359375,12.359375,12.359375,12.359375,11.142001152038574,0,0.0,0.0
2001-11-16,12.421875,12.421875,12.421875,12.421875,11.198343276977539,0,0.0,0.0
2001-11-30,12.875,12.875,12.875,12.875,11.606840133666992,0,0.0,0.0
2001-12-17,12.671875,12.671875,12.671875,12.671875,11.42371940612793,0,0.0,0.0
2001-12-25,12.203125,12.203125,12.203125,12.203125,11.001142501831055,0,0.0,0.0
2002-03-25,16.546875,16.546875,16.546875,16.546875,14.91703987121582,0,0.0,0.0
2002-03-29,16.265625,16.265625,16.265625,16.265625,14.663493156433105,0,0.0,0.0
2002-05-01,15.484375,15.484375,15.484375,15.484375,13.959197044372559,0,0.0,0.0
2002-05-16,15.625,15.625,15.625,15.625,14.085968017578125,0,0.0,0.0
2002-07-01,34.25,37.20000076293945,34.099998474121094,36.599998474121094,32.994972229003906,512060,0.0,0.0
2002-07-02,36.5,43.20000076293945,36.04999923706055,40.400001525878906,36.42068862915039,2486744,0.0,0.0
2002-07-03,41.0,42.0,39.0,39.349998474121094,35.474098205566406,618710,0.0,0.0
2002-07-04,38.25,40.79999923706055,38.25,38.650001525878906,34.84305191040039,185864,0.0,0.0
2002-07-05,39.0,39.79999923706055,37.599998474121094,38.150001525878906,34.39230728149414,245378,0.0,0.0
2002-07-08,37.95000076293945,39.900001525878906,37.54999923706055,38.599998474121094,34.7979736328125,190578,0.0,0.0
2002-07-09,39.29999923706055,42.70000076293945,38.29999923706055,40.29999923706055,36.330535888671875,890928,0.0,0.0
2002-07-10,40.5,41.0,37.20000076293945,37.45000076293945,33.76124572753906,370150,0.0,0.0
2002-07-11,37.0,37.5,35.25,35.599998474121094,32.093475341796875,190942,0.0,0.0
2002-07-12,35.650001525878906,36.349998474121094,34.75,35.599998474121094,32.093475341796875,164152,0.0,0.0
2002-07-15,35.20000076293945,35.20000076293945,33.5,33.95000076293945,30.605995178222656,131618,0.0,0.0
2002-07-16,33.5,35.54999923706055,33.5,34.349998474121094,30.96659278869629,121142,0.0,0.0
2002-07-17,34.5,34.5,32.599998474121094,32.849998474121094,29.614337921142578,62814,0.0,0.0
2002-07-18,33.849998474121094,34.79999923706055,33.5,34.150001525878906,30.786293029785156,82888,0.0,0.0
2002-07-19,33.95000076293945,35.0,33.70000076293945,34.04999923706055,30.69614028930664,56396,0.0,0.0
2002-07-22,32.75,33.25,29.850000381469727,30.149999618530273,27.180282592773438,109490,0.0,0.0
2002-07-23,28.299999237060547,31.5,28.299999237060547,31.149999618530273,28.081787109375,89950,0.0,0.0
2002-07-24,31.5,32.650001525878906,30.799999237060547,31.049999237060547,27.991636276245117,84538,0.0,0.0
2002-07-25,30.549999237060547,32.599998474121094,30.549999237060547,31.649999618530273,28.532543182373047,57130,0.0,0.0
2002-07-26,30.799999237060547,30.799999237060547,29.0,29.299999237060547,26.41400909423828,79784,0.0,0.0
2002-07-29,28.200000762939453,28.450000762939453,25.049999237060547,27.299999237060547,24.611000061035156,285416,0.0,0.0
2002-07-30,28.950000762939453,28.950000762939453,26.149999618530273,26.549999237060547,23.934873580932617,100696,0.0,0.0
2002-07-31,24.100000381469727,27.5,23.75,27.299999237060547,24.611000061035156,285730,0.0,0.0
2002-08-01,28.0,28.450000762939453,26.0,26.549999237060547,23.934873580932617,64174,0.0,0.0
2002-08-02,26.5,27.5,26.100000381469727,27.100000381469727,24.43070411682129,67604,0.0,0.0
2002-08-05,24.100000381469727,28.450000762939453,24.100000381469727,27.0,24.34055519104004,69196,0.0,0.0
2002-08-06,26.5,27.5,26.5,27.299999237060547,24.611000061035156,34976,0.0,0.0
2002-08-07,28.899999618530273,28.899999618530273,27.200000762939453,27.799999237060547,25.061758041381836,73942,0.0,0.0
2002-08-08,27.950000762939453,27.950000762939453,26.25,26.450000762939453,23.844728469848633,56644,0.0,0.0
2002-08-09,27.0,27.25,25.850000381469727,26.700000762939453,24.07010269165039,76742,0.0,0.0
2002-08-12,26.799999237060547,26.950000762939453,26.100000381469727,26.200000762939453,23.619352340698242,35654,0.0,0.0
2002-08-13,25.25,26.700000762939453,25.25,26.5,23.889801025390625,25094,0.0,0.0
2002-08-14,26.799999237060547,26.799999237060547,25.850000381469727,26.399999618530273,23.79964828491211,41632,0.0,0.0
2002-08-15,26.399999618530273,26.399999618530273,26.399999618530273,26.399999618530273,23.79964828491211,0,0.0,0.0
2002-08-16,28.399999618530273,28.399999618530273,26.25,26.399999618530273,23.79964828491211,21252,0.0,0.0
2002-08-19,26.0,27.0,26.0,26.549999237060547,23.934873580932617,20432,0.0,0.0
2002-08-20,27.200000762939453,27.200000762939453,26.5,26.899999618530273,24.250402450561523,16028,0.0,0.0
2002-08-21,26.950000762939453,27.200000762939453,26.649999618530273,26.850000381469727,24.205326080322266,9810,0.0,0.0
2002-08-22,27.0,27.700000762939453,27.0,27.200000762939453,24.520856857299805,22980,0.0,0.0
2002-08-23,27.5,27.75,27.100000381469727,27.399999618530273,24.70115089416504,14906,0.0,0.0
2002-08-26,27.200000762939453,27.950000762939453,27.0,27.600000381469727,24.88145637512207,23916,0.0,0.0
2002-08-27,27.25,27.850000381469727,26.149999618530273,26.399999618530273,23.79964828491211,81108,0.0,0.0
2002-08-28,26.5,26.75,26.0,26.450000762939453,23.844728469848633,16382,0.0,0.0
2002-08-29,26.5,26.5,26.0,26.100000381469727,23.529203414916992,27150,0.0,0.0
2002-08-30,26.399999618530273,26.399999618530273,25.899999618530273,26.0,23.439054489135742,24000,0.0,0.0
2002-09-02,26.200000762939453,26.399999618530273,25.899999618530273,25.950000762939453,23.39397621154785,32270,0.0,0.0
2002-09-03,26.350000381469727,26.350000381469727,25.399999618530273,25.600000381469727,23.078453063964844,51222,0.0,0.0
2002-09-04,25.399999618530273,25.950000762939453,25.149999618530273,25.5,22.988300323486328,17612,0.0,0.0
2002-09-05,26.0,26.100000381469727,25.200000762939453,25.299999237060547,22.807998657226562,42400,0.0,0.0
2002-09-06,25.399999618530273,26.0,25.25,25.649999618530273,23.123523712158203,19338,0.0,0.0
2002-09-09,25.5,25.75,24.899999618530273,25.149999618530273,22.67277717590332,12416,0.0,0.0
2002-09-10,25.149999618530273,25.149999618530273,25.149999618530273,25.149999618530273,22.67277717590332,0,0.0,0.0
2002-09-11,25.600000381469727,26.399999618530273,25.600000381469727,25.899999618530273,23.348901748657227,54906,0.0,0.0
2002-09-12,26.350000381469727,27.0,25.899999618530273,26.600000381469727,23.979948043823242,38508,0.0,0.0
2002-09-13,25.100000381469727,27.850000381469727,25.100000381469727,26.450000762939453,23.844728469848633,61194,0.0,0.0
2002-09-16,26.950000762939453,26.950000762939453,26.25,26.350000381469727,23.754579544067383,13812,0.0,0.0
2002-09-17,27.299999237060547,27.299999237060547,25.799999237060547,25.899999618530273,23.348901748657227,31568,0.0,0.0
2002-09-18,25.700000762939453,25.799999237060547,25.200000762939453,25.450000762939453,22.943225860595703,41976,0.0,0.0
2002-09-19,24.5,25.600000381469727,22.75,24.899999618530273,22.44740104675293,76982,0.0,0.0
2002-09-20,24.100000381469727,26.700000762939453,24.049999237060547,26.299999237060547,23.709501266479492,50180,0.0,0.0
2002-09-23,26.450000762939453,28.299999237060547,26.299999237060547,27.200000762939453,24.520856857299805,97080,0.0,0.0
2002-09-24,29.549999237060547,29.549999237060547,26.600000381469727,26.950000762939453,24.295480728149414,58604,0.0,0.0
2002-09-25,26.25,26.75,25.0,25.700000762939453,23.168601989746094,34308,0.0,0.0
2002-09-26,25.950000762939453,26.5,25.75,26.149999618530273,23.574275970458984,73120,0.0,0.0
2002-09-27,25.25,26.799999237060547,25.25,26.600000381469727,23.979948043823242,27424,0.0,0.0
2002-09-30,26.700000762939453,26.700000762939453,25.399999618530273,25.549999237060547,23.033370971679688,37722,0.0,0.0
2002-10-01,26.200000762939453,26.200000762939453,24.850000381469727,25.350000381469727,22.853073120117188,25516,0.0,0.0
2002-10-02,25.350000381469727,25.350000381469727,25.350000381469727,25.350000381469727,22.853073120117188,0,0.0,0.0
2002-10-03,25.950000762939453,25.950000762939453,25.200000762939453,25.25,22.762929916381836,22410,0.0,0.0
2002-10-04,25.299999237060547,26.899999618530273,25.200000762939453,25.799999237060547,23.258745193481445,124836,0.0,0.0
2002-10-07,25.950000762939453,26.149999618530273,25.600000381469727,25.850000381469727,23.3038272857666,46884,0.0,0.0
2002-10-08,25.799999237060547,26.0,25.700000762939453,25.75,23.213680267333984,13648,0.0,0.0
2002-10-09,25.600000381469727,26.0,25.0,25.25,22.762929916381836,42218,0.0,0.0
2002-10-10,25.25,25.600000381469727,25.200000762939453,25.399999618530273,22.898149490356445,5800,0.0,0.0
2002-10-11,25.799999237060547,26.0,25.600000381469727,25.700000762939453,23.168601989746094,13702,0.0,0.0
2002-10-14,25.549999237060547,25.950000762939453,25.0,25.100000381469727,22.627696990966797,25042,0.0,0.0
