Date,RELIANCE_Open,RELIANCE_High,RELIANCE_Low,RELIANCE_Close,RELIANCE_Adj Close,RELIANCE_Volume,RELIANCE_Dividends,RELIANCE_Stock Splits
1996-01-01,15.859429359436035,15.944528579711914,15.754988670349121,15.917451858520508,10.543346405029297,48051995,0.0,0.0
1996-01-02,15.878769874572754,15.956132888793945,15.67762565612793,15.793670654296875,10.461358070373535,77875009,0.0,0.0
1996-01-03,16.052837371826172,16.783918380737305,15.878769874572754,15.913583755493164,10.54078483581543,96602936,0.0,0.0
1996-01-04,15.762725830078125,15.81301212310791,15.553845405578613,15.766593933105469,10.443418502807617,100099436,0.0,0.0
1996-01-05,15.704703330993652,15.704703330993652,15.522899627685547,15.658285140991211,10.371678352355957,76935930,0.0,0.0
1996-01-08,15.627340316772461,15.638944625854492,14.876917839050293,15.031644821166992,9.956608772277832,86288584,0.0,0.0
1996-01-09,14.586807250976562,14.85370922088623,14.099418640136719,14.598410606384277,9.669642448425293,179415702,0.0,0.0
1996-01-10,14.31216812133789,14.656434059143066,14.157442092895508,14.223199844360352,9.421113967895508,127653926,0.0,0.0
1996-01-11,14.080079078674316,14.737665176391602,14.060737609863281,14.668038368225098,9.715764045715332,189051436,0.0,0.0
1996-01-12,14.776346206665039,14.88852310180664,14.416607856750488,14.513312339782715,9.613277435302734,172918416,0.0,0.0
1996-01-15,14.470762252807617,14.544257164001465,14.28122329711914,14.362454414367676,9.513354301452637,92291448,0.0,0.0
1996-01-16,14.31216812133789,14.466894149780273,14.26574993133545,14.389531135559082,9.53128719329834,100259719,0.0,0.0
1996-01-17,14.31216812133789,14.33150863647461,13.697132110595703,13.817044258117676,9.15208625793457,138279150,0.0,0.0
1996-01-18,13.465042114257812,13.685526847839355,13.290974617004395,13.434097290039062,8.898430824279785,174217485,0.0,0.0
1996-01-19,13.24842643737793,13.414755821228027,13.109171867370605,13.198140144348145,8.742138862609863,149773006,0.0,0.0
1996-01-22,13.240689277648926,13.596559524536133,13.229084968566895,13.422492980957031,8.89074420928955,156270292,0.0,0.0
1996-01-23,13.468910217285156,13.526932716369629,12.146001815795898,12.853874206542969,8.514103889465332,163795200,0.0,0.0
1996-01-24,12.741698265075684,12.819061279296875,12.22336483001709,12.412904739379883,8.222017288208008,162072156,0.0,0.0
1996-01-25,12.38582706451416,12.439982414245605,11.817209243774414,11.890704154968262,7.876123905181885,166534879,0.0,0.0
1996-01-26,11.890704154968262,11.890704154968262,11.890704154968262,11.890704154968262,7.876123905181885,0,0.0,0.0
1996-01-29,11.836549758911133,12.938973426818848,11.763054847717285,12.826796531677246,8.496169090270996,301314299,0.0,0.0
1996-01-30,13.229084968566895,14.621620178222656,13.035676956176758,13.979507446289062,9.259696006774902,490083300,0.0,0.0
1996-01-31,13.847990036010742,14.370189666748047,13.325789451599121,13.673922538757324,9.057286262512207,337615209,0.0,0.0
1996-02-01,13.53853702545166,14.31216812133789,13.499855995178223,14.223199844360352,9.421113967895508,295555091,0.0,0.0
1996-02-02,14.602278709411621,15.936792373657227,14.602278709411621,15.766593933105469,10.443418502807617,377841766,0.0,0.0
1996-02-05,16.633060455322266,17.422163009643555,16.13406753540039,17.077898025512695,11.31199836730957,564175497,0.0,0.0
