Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2007-07-25,166.25,185.25,154.5,162.85000610351562,153.95492553710938,22463056,0.0,0.0
2007-07-26,165.4250030517578,169.4499969482422,160.3000030517578,162.5,153.62405395507812,6957760,0.0,0.0
2007-07-27,159.5,159.5,146.625,150.5,142.2794952392578,3402654,0.0,0.0
2007-07-30,151.0,155.25,144.3000030517578,149.1999969482422,141.05050659179688,3286372,0.0,0.0
2007-07-31,150.14999389648438,165.72500610351562,150.14999389648438,159.5,150.78790283203125,6638280,0.0,0.0
2007-08-01,157.39999389648438,157.39999389648438,143.64999389648438,143.64999389648438,135.80364990234375,1993772,0.0,0.0
2007-08-02,146.0,151.60000610351562,143.25,144.5,136.60723876953125,1693364,0.0,0.0
2007-08-03,146.3249969482422,149.6999969482422,145.0,146.5,138.49798583984375,696384,0.0,0.0
2007-08-06,142.8249969482422,156.5,138.5,155.0,146.53367614746094,1129316,0.0,0.0
2007-08-07,156.5,166.1999969482422,155.5,156.9499969482422,148.37718200683594,2981610,0.0,0.0
2007-08-08,162.5,165.75,158.5,159.5,150.78790283203125,1868298,0.0,0.0
2007-08-09,164.0,164.6999969482422,151.5,151.60000610351562,143.31942749023438,1109486,0.0,0.0
2007-08-10,150.0,150.85000610351562,141.0500030517578,150.0,141.8068084716797,566318,0.0,0.0
2007-08-13,153.25,156.6999969482422,151.0,154.27499389648438,145.84828186035156,722008,0.0,0.0
2007-08-14,154.5,161.0,152.60000610351562,158.02499389648438,149.39346313476562,1029712,0.0,0.0
2007-08-16,153.0,153.0,145.0,148.0,139.91603088378906,299230,0.0,0.0
2007-08-17,147.3000030517578,151.47500610351562,141.0,143.5,135.66184997558594,269018,0.0,0.0
2007-08-20,152.5,155.22500610351562,149.0,149.5,141.3341064453125,396542,0.0,0.0
2007-08-21,152.5,153.4499969482422,137.5,140.9499969482422,133.25111389160156,279708,0.0,0.0
2007-08-22,142.625,145.0,136.0500030517578,139.25,131.6439971923828,205812,0.0,0.0
2007-08-23,143.0,145.4499969482422,139.5,142.39999389648438,134.62191772460938,178972,0.0,0.0
2007-08-24,142.5,143.4499969482422,138.875,140.0,132.35302734375,98378,0.0,0.0
2007-08-27,144.875,147.5,142.0,147.5,139.443359375,121738,0.0,0.0
2007-08-28,145.0,148.9499969482422,145.0,146.5,138.49798583984375,91634,0.0,0.0
2007-08-29,143.9499969482422,150.47500610351562,141.5,148.25,140.15240478515625,210150,0.0,0.0
2007-08-30,149.25,153.0,148.5,148.5,140.3887176513672,134646,0.0,0.0
2007-08-31,151.9499969482422,152.25,147.5,147.5,139.443359375,117030,0.0,0.0
2007-09-03,150.0,156.0,148.25,153.5,145.11563110351562,216920,0.0,0.0
2007-09-04,155.0,161.6999969482422,153.5,161.0,152.2059783935547,293304,0.0,0.0
2007-09-05,161.5,186.60000610351562,161.5,175.0,165.44126892089844,4292470,0.0,0.0
2007-09-06,175.0,178.5500030517578,166.5500030517578,173.5,164.02320861816406,1362016,0.0,0.0
2007-09-07,169.89999389648438,175.3000030517578,168.60000610351562,169.0,159.76901245117188,480858,0.0,0.0
